satisfied_clauses,ratio_fully_satisfied,weight_sum,generations,relative_error_avg
0.9458598,0.0,114829.0,100.0,0.06085073677077048
0.9464968,0.0,80303.1,100.0,0.06174685653087938
0.9382167000000001,0.0,86693.6,100.0,0.019387535776101
0.9305733,0.0,99124.6,100.0,0.023589096962950563
0.9471338000000001,0.0,71012.1,100.0,0.004105822777707641
0.9566879,0.0,98337.5,100.0,0.017158314695037178
0.9382165,0.0,102849.5,100.0,0.04243205750090777
0.95414,0.0,116062.0,100.0,0.06790237477613498
0.9407645,0.0,91254.6,100.0,0.021544338217838875
0.9363058000000001,0.0,82129.8,100.0,0.01721631922742258
0.9445860999999999,0.0,121650.7,100.0,0.05198569179694197
0.9592356000000001,0.0,100754.1,100.0,0.0437972127227869
0.9445859000000001,0.0,108077.2,100.0,0.0755679485424935
0.9299362999999999,0.0,87803.5,100.0,0.020756762992443906
0.9414011999999999,0.0,89462.4,100.0,0.06856501278039226
0.9439489999999999,0.0,102473.3,100.0,0.05168775721748412
0.955414,0.0,102547.6,100.0,0.022220510796422694
0.9267517999999999,0.0,101496.1,100.0,0.13295864262990456
0.9382166,0.0,73864.3,100.0,0.003947936336660372
0.9477707000000001,0.0,114349.7,100.0,0.06741616102303125
