satisfied_clauses,ratio_fully_satisfied,weight_sum,generations,relative_error_avg
0.9363059,0.0,14905.7,1000.0,0.022900082349711776
0.9267515999999999,0.0,10222.7,1000.0,0.12201734167489849
0.9636942999999999,0.0,10656.2,1000.0,0.0006761198234576017
0.9560508999999999,0.0,12233.2,1000.0,0.0004252535165194635
0.9668787999999999,0.0,8595.9,1000.0,0.0008033531260915125
0.9318472,0.0,12923.2,1000.0,0.08116790763824981
0.9394906000000001,0.0,13172.6,1000.0,0.01805394543627792
0.9407644000000002,0.0,14972.0,1000.0,0.002586494233717752
0.9490448,0.0,11342.8,1000.0,0.01601576495879613
0.9388536000000001,0.0,10152.6,1000.0,0.032817904374364194
0.9528661000000002,0.0,15386.3,1000.0,0.005078605162709452
0.9191082000000002,0.0,13252.0,1000.0,0.04833478364053477
0.942675,0.0,14089.6,1000.0,0.0003976143141153082
0.9464968,0.0,10804.2,1000.0,0.03468684160122582
0.9286625000000001,0.0,11355.8,1000.0,0.12600892414476947
0.9229298,0.0,13323.6,1000.0,0.13527607361963193
0.9426752,0.0,13083.9,1000.0,0.04537392138063279
0.9171974,0.0,12880.9,1000.0,0.19378127896200187
0.9573247,0.0,8937.5,1000.0,0.0006157635467980295
0.9312103,0.0,14708.3,1000.0,0.004935012185215272
