satisfied_clauses,ratio_fully_satisfied,weight_sum,generations,relative_error_avg
0.939535,0.0,52367.0,1500.0,-1.0
0.944186,0.0,6392.0,1500.0,-1.0
0.925581,0.0,5098.0,1500.0,-1.0
0.932558,0.0,5459.0,1500.0,-1.0
0.944186,0.0,5324.0,1500.0,-1.0
0.923256,0.0,5845.0,1500.0,-1.0
0.925581,0.0,5482.0,1500.0,-1.0
0.939535,0.0,5381.0,1500.0,-1.0
0.927907,0.0,5457.0,1500.0,-1.0
0.930233,0.0,4960.0,1500.0,-1.0
0.948837,0.0,5358.0,1500.0,-1.0
0.932558,0.0,6002.0,1500.0,-1.0
0.930233,0.0,5203.0,1500.0,-1.0
0.937209,0.0,5688.0,1500.0,-1.0
0.939535,0.0,5961.0,1500.0,-1.0
0.939535,0.0,5749.0,1500.0,-1.0
0.913953,0.0,5594.0,1500.0,-1.0
0.918605,0.0,4622.0,1500.0,-1.0
0.939535,0.0,6559.0,1500.0,-1.0
0.927907,0.0,6059.0,1500.0,-1.0
